Sr No.,Date,Time,Blockchain,Function,Latency,Transaction Fee
447,11/11/2023,02:20:57 GMT-0800 (Pacific Standard Time),Celo,default,1.166941070000641,0,
448,11/11/2023,02:21:03 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,7.119034175000153,0.002674,
449,11/11/2023,02:21:04 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,13.849586201000028,0.0000033425,
450,11/11/2023,02:21:05 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.1227393239997328,0,
451,11/11/2023,02:21:05 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.1274898959994315,0,
452,11/11/2023,02:21:26 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,27.49006991100032,0.00222592,
453,11/11/2023,02:21:32 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,46.18400378500018,0.002674,
454,11/11/2023,02:21:33 GMT-0800 (Pacific Standard Time),Sepolia,default,1.1313598379995673,0,
455,11/11/2023,02:21:46 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,16.462994191000238,0.002674,
456,11/11/2023,02:21:47 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.197091873000376,0,
457,11/11/2023,02:25:22 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,5.500902139999904,0.00762992,
458,11/11/2023,02:25:27 GMT-0800 (Pacific Standard Time),Sepolia,createUser,10.466359993000514,0.00762992,
459,11/11/2023,02:25:29 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,12.360333933999762,0.00762992,
460,11/11/2023,02:25:30 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,13.178533733999357,0.0000095374,
461,11/11/2023,02:25:30 GMT-0800 (Pacific Standard Time),Celo,createUser,14.029248541999609,0.00762992,
462,11/11/2023,02:25:37 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,11.46120823900029,0.00222592,
463,11/11/2023,02:25:41 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,8.979668573999778,0.00222592,
464,11/11/2023,02:25:43 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,9.330172340999358,0.0000027824,
465,11/11/2023,02:25:46 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,29.573031378999353,0.00762992,
466,11/11/2023,02:25:47 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,6.560384886999614,0.002674,
467,11/11/2023,02:25:48 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,0.886913761999458,0,
468,11/11/2023,02:25:51 GMT-0800 (Pacific Standard Time),Celo,issueMoney,17.045589537999593,0.00222592,
469,11/11/2023,02:25:53 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,22.46399410900008,0.00222592,
470,11/11/2023,02:25:57 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,12.404055048999377,0.002674,
471,11/11/2023,02:25:58 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,1.1367646139999852,0,
472,11/11/2023,02:25:59 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,9.110021221000702,0.00222592,
473,11/11/2023,02:26:10 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,23.644555790999906,0.0000033425,
474,11/11/2023,02:26:11 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,0.8452763609997929,0,
475,11/11/2023,02:26:15 GMT-0800 (Pacific Standard Time),Celo,transferMoney,21.14916773700062,0.002674,
476,11/11/2023,02:26:16 GMT-0800 (Pacific Standard Time),Celo,default,1.149384924000129,0,
477,11/11/2023,02:26:21 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,18.438986164000816,0.002674,
478,11/11/2023,02:26:22 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.1784673149995506,0,
479,11/11/2023,02:26:27 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,29.534789478999564,0.002674,
480,11/11/2023,02:26:28 GMT-0800 (Pacific Standard Time),Sepolia,default,1.154790142999962,0,
481,11/11/2023,02:30:29 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,10.563543625000865,0.00762992,
482,11/11/2023,02:30:32 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,13.673656127999537,0.0000095374,
483,11/11/2023,02:30:32 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,14.096154963999986,0.00762992,
484,11/11/2023,02:30:32 GMT-0800 (Pacific Standard Time),Sepolia,createUser,14.30121490199957,0.00762992,
485,11/11/2023,02:30:38 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,19.635207899999806,0.00762992,
486,11/11/2023,02:30:39 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,7.457672931999899,0.00222592,
487,11/11/2023,02:30:41 GMT-0800 (Pacific Standard Time),Celo,createUser,24.09874053600058,0.00762992,
488,11/11/2023,02:30:51 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,15.554925956999883,0.0000027824,
489,11/11/2023,02:30:54 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,17.848027165999635,0.00222592,
490,11/11/2023,02:30:58 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,15.502303105000406,0.002674,
491,11/11/2023,02:30:59 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,1.1987408810006455,0,
492,11/11/2023,02:31:06 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,29.4165810260009,0.00222592,
493,11/11/2023,02:31:10 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,28.441827282000332,0.00222592,
494,11/11/2023,02:31:12 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,17.55421279599983,0.0000033425,
495,11/11/2023,02:31:13 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.1723170069996267,0,
496,11/11/2023,02:31:13 GMT-0800 (Pacific Standard Time),Celo,issueMoney,28.584422381999904,0.00222592,
497,11/11/2023,02:31:15 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,17.576254363000395,0.002674,
498,11/11/2023,02:31:16 GMT-0800 (Pacific Standard Time),Sepolia,default,1.3089827560000122,0,
499,11/11/2023,02:31:21 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,7.812856078000739,0.002674,
500,11/11/2023,02:31:23 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,2.8125646540001035,0,
501,11/11/2023,02:31:26 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,16.17725318600051,0.002674,
502,11/11/2023,02:31:27 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.3437733610002325,0,
503,11/11/2023,02:31:30 GMT-0800 (Pacific Standard Time),Celo,transferMoney,13.055477513999678,0.002674,
504,11/11/2023,02:31:31 GMT-0800 (Pacific Standard Time),Celo,default,1.1189855309994892,0,
505,11/11/2023,02:35:31 GMT-0800 (Pacific Standard Time),Celo,createUser,14.409198402000591,0.00762992,
506,11/11/2023,02:35:32 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,14.986983903000132,0.0000095374,
507,11/11/2023,02:35:35 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,17.93274923500046,0.00762992,
508,11/11/2023,02:35:36 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,19.16930750199966,0.00762992,
509,11/11/2023,02:35:37 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,20.454739914000033,0.00762992,
510,11/11/2023,02:35:43 GMT-0800 (Pacific Standard Time),Sepolia,createUser,26.55515198600106,0.00762992,
511,11/11/2023,02:35:44 GMT-0800 (Pacific Standard Time),Celo,issueMoney,9.293569881001487,0.00222592,
512,11/11/2023,02:35:51 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,12.21452949700132,0.00222592,
513,11/11/2023,02:35:58 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,17.174809110999107,0.00222592,
514,11/11/2023,02:35:59 GMT-0800 (Pacific Standard Time),Celo,transferMoney,11.116967824999243,0.002674,
515,11/11/2023,02:36:00 GMT-0800 (Pacific Standard Time),Celo,default,1.193067642999813,0,
516,11/11/2023,02:36:02 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,25.901809658000246,0.0000027824,
517,11/11/2023,02:36:02 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,13.095913639999926,0.00222592,
518,11/11/2023,02:36:02 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,21.559828614998608,0.00222592,
519,11/11/2023,02:36:07 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,12.690276528000831,0.002674,
520,11/11/2023,02:36:08 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.1409608260001987,0,
521,11/11/2023,02:36:13 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,7.563038565998897,0.002674,
522,11/11/2023,02:36:15 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,2.1034266969989983,0,
523,11/11/2023,02:36:16 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,10.806722542000934,0.0000033425,
524,11/11/2023,02:36:17 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,15.266617445999756,0.002674,
525,11/11/2023,02:36:17 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.1661665199995042,0,
526,11/11/2023,02:36:18 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.148024799000472,0,
527,11/11/2023,02:36:29 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,23.54009646200016,0.002674,
528,11/11/2023,02:36:30 GMT-0800 (Pacific Standard Time),Sepolia,default,1.247627044999972,0,
529,11/11/2023,02:40:27 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,9.846443438000977,0.00762992,
530,11/11/2023,02:40:29 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,11.927484959000722,0.00762992,
531,11/11/2023,02:40:40 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,21.968700198998675,0.00762992,
532,11/11/2023,02:40:43 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,12.704930609000847,0.00222592,
533,11/11/2023,02:40:49 GMT-0800 (Pacific Standard Time),Celo,createUser,31.36775510499999,0.00762992,
534,11/11/2023,02:40:50 GMT-0800 (Pacific Standard Time),Sepolia,createUser,32.64480949100107,0.00762992,
535,11/11/2023,02:40:53 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,19.760534383000806,0.00222592,
536,11/11/2023,02:41:02 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,8.539991879999638,0.00222592,
537,11/11/2023,02:41:06 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,19.781363851001487,0.002674,
538,11/11/2023,02:41:08 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.3040084870010615,0,
539,11/11/2023,02:41:08 GMT-0800 (Pacific Standard Time),Celo,issueMoney,15.143948836999014,0.00222592,
540,11/11/2023,02:41:09 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,26.080568901998923,0.00222592,
541,11/11/2023,02:41:12 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,15.389077246999369,0.002674,
542,11/11/2023,02:41:14 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,1.1623520390000195,0,
543,11/11/2023,02:41:17 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,10.48440932400152,0.002674,
544,11/11/2023,02:41:18 GMT-0800 (Pacific Standard Time),Sepolia,default,1.3156490430012346,0,
545,11/11/2023,02:41:20 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,63.18839134199917,0.0000095374,
546,11/11/2023,02:41:23 GMT-0800 (Pacific Standard Time),Celo,transferMoney,11.477589351000264,0.002674,
547,11/11/2023,02:41:24 GMT-0800 (Pacific Standard Time),Celo,default,1.141445840999484,0,
548,11/11/2023,02:41:30 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,6.527117514999583,0.0000027824,
549,11/11/2023,02:41:34 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,21.817672585999592,0.002674,
550,11/11/2023,02:41:36 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.164441990999505,0,
551,11/11/2023,02:41:48 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,15.34846643299982,0.0000033425,
552,11/11/2023,02:41:49 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.3467855909988284,0,
553,11/11/2023,02:45:24 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,6.5344349470008165,0.0000095374,
554,11/11/2023,02:45:26 GMT-0800 (Pacific Standard Time),Celo,createUser,8.772642335001379,0.00762992,
555,11/11/2023,02:45:27 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,9.694243032999337,0.00762992,
556,11/11/2023,02:45:28 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,10.286708622001111,0.00762992,
557,11/11/2023,02:45:29 GMT-0800 (Pacific Standard Time),Sepolia,createUser,11.549381796998903,0.00762992,
558,11/11/2023,02:45:35 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,5.798872246000916,0.0000027824,
559,11/11/2023,02:45:38 GMT-0800 (Pacific Standard Time),Celo,issueMoney,8.393992974000051,0.00222592,
560,11/11/2023,02:45:43 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,12.483287590000778,0.00222592,
561,11/11/2023,02:45:44 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,9.946601862000302,0.00222592,
562,11/11/2023,02:45:44 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,26.623213963000104,0.00762992,
563,11/11/2023,02:45:50 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,17.305578755000607,0.00222592,
564,11/11/2023,02:45:53 GMT-0800 (Pacific Standard Time),Celo,transferMoney,9.399393857000396,0.002674,
565,11/11/2023,02:45:54 GMT-0800 (Pacific Standard Time),Celo,default,0.8415416119992734,0,
566,11/11/2023,02:45:54 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,16.55794443500042,0.0000033425,
567,11/11/2023,02:45:56 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.2297289340011774,0,
568,11/11/2023,02:45:58 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,10.61963031899929,0.002674,
569,11/11/2023,02:45:58 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,11.361335685001686,0.002674,
570,11/11/2023,02:45:59 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.192708837000653,0,
571,11/11/2023,02:45:59 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,1.140590514998883,0,
572,11/11/2023,02:46:01 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,7.395811483999714,0.002674,
573,11/11/2023,02:46:02 GMT-0800 (Pacific Standard Time),Sepolia,default,1.1622456100005656,0,
574,11/11/2023,02:46:12 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,24.44842045199871,0.00222592,
575,11/11/2023,02:46:29 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,13.765737721001729,0.002674,
576,11/11/2023,02:46:30 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,0.8853240259997547,0,
577,11/11/2023,02:50:22 GMT-0800 (Pacific Standard Time),Celo,createUser,5.029991180999205,0.00762992,
578,11/11/2023,02:50:23 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,5.5520818639993665,0.00762992,
579,11/11/2023,02:50:33 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,16.220835018999875,0.0000095374,
580,11/11/2023,02:50:34 GMT-0800 (Pacific Standard Time),Sepolia,createUser,16.578480035001412,0.00762992,
581,11/11/2023,02:50:36 GMT-0800 (Pacific Standard Time),Celo,issueMoney,10.278781987000256,0.00222592,
582,11/11/2023,02:50:39 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,21.335966114999728,0.00762992,
583,11/11/2023,02:51:20 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,38.23528849399835,0.00222592,
584,11/11/2023,02:51:25 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,67.78652262999863,0.00762992,
585,11/11/2023,02:51:27 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,50.832524134000764,0.0000027824,
586,11/11/2023,02:51:29 GMT-0800 (Pacific Standard Time),Celo,transferMoney,49.588481598000975,0.002674,
587,11/11/2023,02:51:30 GMT-0800 (Pacific Standard Time),Celo,default,0.8746767090000213,0,
588,11/11/2023,02:51:32 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,54.680051722999664,0.00222592,
589,11/11/2023,02:51:37 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,8.736005530999973,0.00222592,
590,11/11/2023,02:51:40 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,73.83224098799937,0.00222592,
591,11/11/2023,02:51:42 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,17.302118280999363,0.002674,
592,11/11/2023,02:51:44 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.1957614949997515,0,
593,11/11/2023,02:51:45 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,14.358156122000889,0.0000033425,
594,11/11/2023,02:51:46 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,0.9180802100002766,0,
595,11/11/2023,02:51:50 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,6.2581188339982186,0.002674,
596,11/11/2023,02:51:51 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.1526253500003367,0,
597,11/11/2023,02:51:54 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,18.079940029999243,0.002674,
598,11/11/2023,02:51:55 GMT-0800 (Pacific Standard Time),Sepolia,default,1.1589273929987103,0,
599,11/11/2023,02:51:56 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,15.46314980699867,0.002674,
600,11/11/2023,02:51:58 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,1.2308367550000547,0,
601,11/11/2023,02:55:25 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,7.506610000999644,0.00762992,
602,11/11/2023,02:55:26 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,9.364791517999024,0.00762992,
603,11/11/2023,02:55:30 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,12.625582301000133,0.0000095374,
604,11/11/2023,02:55:30 GMT-0800 (Pacific Standard Time),Celo,createUser,12.514959038998931,0.00762992,
605,11/11/2023,02:55:34 GMT-0800 (Pacific Standard Time),Sepolia,createUser,16.33723494200036,0.00762992,
606,11/11/2023,02:55:39 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,10.535064269999042,0.00222592,
607,11/11/2023,02:55:46 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,28.168227486999704,0.00762992,
608,11/11/2023,02:55:48 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,9.292335294000804,0.00222592,
609,11/11/2023,02:55:49 GMT-0800 (Pacific Standard Time),Celo,issueMoney,15.08648399600014,0.00222592,
610,11/11/2023,02:55:49 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,6.849952475000173,0.002674,
611,11/11/2023,02:55:50 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,20.744562284998597,0.00222592,
612,11/11/2023,02:55:51 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.1481839199997486,0,
613,11/11/2023,02:55:52 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,19.061033141000195,0.0000027824,
614,11/11/2023,02:56:01 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,11.16276581900008,0.00222592,
615,11/11/2023,02:56:02 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,10.276403231998906,0.002674,
616,11/11/2023,02:56:03 GMT-0800 (Pacific Standard Time),Sepolia,default,1.1523991849999875,0,
617,11/11/2023,02:56:13 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,19.562610089998692,0.002674,
618,11/11/2023,02:56:15 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.1573176490012556,0,
619,11/11/2023,02:56:17 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,21.24788802700117,0.0000033425,
620,11/11/2023,02:56:18 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.1935451619997621,0,
621,11/11/2023,02:56:26 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,21.135486925000325,0.002674,
622,11/11/2023,02:56:27 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,0.8620271180011332,0,
623,11/11/2023,02:56:37 GMT-0800 (Pacific Standard Time),Celo,transferMoney,44.64315737799927,0.002674,
624,11/11/2023,02:56:38 GMT-0800 (Pacific Standard Time),Celo,default,0.8796036249995232,0,
625,11/11/2023,03:00:24 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,6.584424737999216,0.00762992,
626,11/11/2023,03:00:27 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,9.646427922999486,0.0000095374,
627,11/11/2023,03:00:28 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,9.876833362000063,0.00762992,
628,11/11/2023,03:00:29 GMT-0800 (Pacific Standard Time),Sepolia,createUser,11.434190772999077,0.00762992,
629,11/11/2023,03:00:32 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,14.362901762999595,0.00762992,
630,11/11/2023,03:00:35 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,7.2162611199989914,0.00222592,
631,11/11/2023,03:00:42 GMT-0800 (Pacific Standard Time),Celo,createUser,23.670851151000708,0.00762992,
632,11/11/2023,03:00:46 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,10.147362600000575,0.00222592,
633,11/11/2023,03:00:48 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,16.41154872000031,0.00222592,
634,11/11/2023,03:00:49 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,9.561818506000563,0.002674,
635,11/11/2023,03:00:50 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.2257742879986764,0,
636,11/11/2023,03:00:52 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,19.147814650999383,0.00222592,
637,11/11/2023,03:00:53 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,22.641735474999994,0.0000027824,
638,11/11/2023,03:00:53 GMT-0800 (Pacific Standard Time),Celo,issueMoney,8.29326215299964,0.00222592,
639,11/11/2023,03:01:02 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,10.156116489000619,0.002674,
640,11/11/2023,03:01:03 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,1.1892337179984898,0,
641,11/11/2023,03:01:12 GMT-0800 (Pacific Standard Time),Celo,transferMoney,15.359295355999842,0.002674,
642,11/11/2023,03:01:12 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,16.79916500800103,0.002674,
643,11/11/2023,03:01:13 GMT-0800 (Pacific Standard Time),Sepolia,default,0.827802827000618,0,
644,11/11/2023,03:01:13 GMT-0800 (Pacific Standard Time),Celo,default,1.152729697998613,0,
645,11/11/2023,03:01:14 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,17.433542107999326,0.0000033425,
646,11/11/2023,03:01:16 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.2662691149991006,0,
647,11/11/2023,03:01:27 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,38.55977180199884,0.002674,
648,11/11/2023,03:01:28 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.1437470490001143,0,
649,11/11/2023,03:05:21 GMT-0800 (Pacific Standard Time),Celo,createUser,4.76688455599919,0.00762992,
650,11/11/2023,03:05:24 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,7.7713670799992975,0.0000095374,
651,11/11/2023,03:05:27 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,10.705283040998504,0.00762992,
652,11/11/2023,03:05:31 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,13.97256811799854,0.00762992,
653,11/11/2023,03:05:31 GMT-0800 (Pacific Standard Time),Linea-Goerli,createUser,14.323295793998987,0.00762992,
654,11/11/2023,03:05:31 GMT-0800 (Pacific Standard Time),Sepolia,createUser,13.594121949000284,0.00762992,
655,11/11/2023,03:05:34 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,issueMoney,6.382965895999223,0.0000027824,
656,11/11/2023,03:05:34 GMT-0800 (Pacific Standard Time),Celo,issueMoney,9.838892279000953,0.00222592,
657,11/11/2023,03:05:42 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,transferMoney,4.728038159999996,0.0000033425,
658,11/11/2023,03:05:43 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,default,1.1656711109988391,0,
659,11/11/2023,03:05:43 GMT-0800 (Pacific Standard Time),Linea-Goerli,issueMoney,9.058895702999084,0.00222592,
660,11/11/2023,03:05:46 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,issueMoney,14.522857311001047,0.00222592,
661,11/11/2023,03:05:52 GMT-0800 (Pacific Standard Time),Sepolia,issueMoney,16.41817214900069,0.00222592,
662,11/11/2023,03:05:54 GMT-0800 (Pacific Standard Time),Celo,transferMoney,16.96792234900035,0.002674,
663,11/11/2023,03:05:55 GMT-0800 (Pacific Standard Time),Celo,default,0.8405636179987341,0,
664,11/11/2023,03:05:59 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,transferMoney,10.282177706001326,0.002674,
665,11/11/2023,03:06:00 GMT-0800 (Pacific Standard Time),Linea-Goerli,transferMoney,13.164285801000894,0.002674,
666,11/11/2023,03:06:01 GMT-0800 (Pacific Standard Time),Linea-Goerli,default,1.1124881490003318,0,
667,11/11/2023,03:06:04 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,default,5.317141572000459,0,
668,11/11/2023,03:06:05 GMT-0800 (Pacific Standard Time),Optimism-Goerli,issueMoney,30.790829609001054,0.00222592,
669,11/11/2023,03:06:18 GMT-0800 (Pacific Standard Time),Sepolia,transferMoney,22.379613081000745,0.002674,
670,11/11/2023,03:06:19 GMT-0800 (Pacific Standard Time),Sepolia,default,1.1344703219998629,0,
671,11/11/2023,03:06:26 GMT-0800 (Pacific Standard Time),Optimism-Goerli,transferMoney,17.763780006000772,0.002674,
672,11/11/2023,03:06:27 GMT-0800 (Pacific Standard Time),Optimism-Goerli,default,1.195953569000587,0,
673,11/11/2023,03:10:26 GMT-0800 (Pacific Standard Time),Celo,createUser,8.394109790999442,0.00762992,
674,11/11/2023,03:10:26 GMT-0800 (Pacific Standard Time),Optimism-Goerli,createUser,8.942893753999844,0.00762992,
675,11/11/2023,03:10:27 GMT-0800 (Pacific Standard Time),Arbitrum-Goerli,createUser,9.922799922998994,0.0000095374,
676,11/11/2023,03:10:29 GMT-0800 (Pacific Standard Time),Polygon-Mumbai,createUser,11.39260496199876,0.00762992,
677,11/11/2023,03:10:33 GMT-0800 (Pacific Standard Time),Sepolia,createUser,15.926449875000865,0.00762992,
