Sr No.,Date,Time,Blockchain,Function,Number of Transactions,Throughput,Transaction Fee
50,10/25/2023,14:21:49 GMT+0500 (Pakistan Standard Time),Linea-Goerli,createUser,10,0.22452546404137363,0.00667618,
51,10/25/2023,16:16:19 GMT+0500 (Pakistan Standard Time),Sepolia,default,10,4.801551476550703,0.000000000000000NaN,
52,10/25/2023,16:16:59 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,10,3.5985301999136285,0.000000000000000NaN,
53,10/25/2023,16:17:21 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,default,10,2.993488855805218,0.000000000000000NaN,
54,10/25/2023,16:17:48 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,default,10,4.509735031297478,0.000000000000000NaN,
55,10/25/2023,16:18:05 GMT+0500 (Pakistan Standard Time),Linea-Goerli,default,10,5.415006821321696,0.000000000000000NaN,
56,10/25/2023,16:18:19 GMT+0500 (Pakistan Standard Time),Celo,default,10,4.283643703917757,0.000000000000000NaN,
57,10/25/2023,17:32:52 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,issueMoney,50,2.394499178642663,0.00194768,
58,10/25/2023,17:38:47 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,transferMoney,50,3.6939100533859888,0.00233975,
59,10/25/2023,17:57:18 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,5,0.1358704542642858,0.00194768,
60,10/25/2023,17:59:50 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,1,0.039471954812786,0.00194768,
61,10/25/2023,18:02:49 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,50,2.0193722932525104,0.00194768,
62,10/25/2023,18:09:22 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,50,3.414113179216998,0.00194768,
63,10/25/2023,18:15:00 GMT+0500 (Pakistan Standard Time),Celo,issueMoney,50,3.0713549262869444,0.00194768,
64,10/25/2023,18:27:19 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,issueMoney,1,0.07289875469466288,0.00194768,
65,10/25/2023,18:31:36 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,1,0.04140174959514333,0.00194768,
66,10/25/2023,18:49:36 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,1,0.08879606507376886,0.00194768,
67,10/25/2023,18:54:31 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,20,0.8934505085080908,0.00194768,
68,10/25/2023,18:59:52 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,25,0.7906455504906799,0.00194768,
69,10/25/2023,19:22:43 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,50,3.1734714804205733,0.00667618,
70,10/26/2023,11:47:15 GMT+0500 (Pakistan Standard Time),Sepolia,transferMoney,50,0.5913584504319745,0.00233975,
71,10/26/2023,11:51:03 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,50,4.136257831471125,0.00667618,
72,10/26/2023,11:53:30 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,50,4.530945318394461,0.00194768,
73,10/26/2023,11:53:52 GMT+0500 (Pakistan Standard Time),Sepolia,default,50,47.15707108171306,0.000000000000000NaN,
74,10/26/2023,11:58:48 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,50,4.70661420287781,0.00667618,
75,10/26/2023,12:02:44 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,50,3.1382583920549774,0.00194768,
76,10/26/2023,12:17:31 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,50,5.22116765196349,0.00233975,
77,10/26/2023,12:18:06 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,50,5.623841278646166,0.000000000000000NaN,
78,10/26/2023,12:22:33 GMT+0500 (Pakistan Standard Time),Celo,createUser,50,6.6223710062249905,0.00667618,
79,10/26/2023,12:24:49 GMT+0500 (Pakistan Standard Time),Celo,issueMoney,50,6.764989777655921,0.00194768,
80,10/26/2023,12:28:13 GMT+0500 (Pakistan Standard Time),Celo,transferMoney,50,5.846556863710084,0.00233975,
81,10/26/2023,12:28:33 GMT+0500 (Pakistan Standard Time),Celo,default,50,33.328612868573146,0.000000000000000NaN,
82,10/26/2023,12:33:44 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,25,4.230441536667611,0.0000095374,
83,10/26/2023,20:38:28 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,25,0.8152077272559869,0.0333809,
84,10/26/2023,20:44:44 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,25,0.09454502000529345,0.0097384,
85,10/26/2023,20:56:20 GMT+0500 (Pakistan Standard Time),Sepolia,transferMoney,25,0.04204142897511845,0.01169875,
86,10/26/2023,20:57:23 GMT+0500 (Pakistan Standard Time),Sepolia,default,25,15.13910637838313,0.000000000000000NaN,
87,10/26/2023,21:08:36 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,25,0.04416910872375426,0.0333809,
88,10/26/2023,21:10:27 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,25,1.1439066862623115,0.0097384,
89,10/26/2023,21:12:12 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,25,1.8612421428702324,0.01169875,
90,10/26/2023,21:12:29 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,25,19.1644463301324,0.000000000000000NaN,
91,10/26/2023,21:16:32 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,25,0.18429032518975935,0.0000095374,
92,10/26/2023,21:18:30 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,issueMoney,25,1.1482974806238948,0.0000027824,
93,10/26/2023,21:20:02 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,25,3.207031618687354,0.0000033425,
94,10/26/2023,21:20:29 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,default,25,8.89937193134618,0.000000000000000NaN,
95,10/30/2023,17:58:03 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,25,3.202679411813966,0.0000095374,
96,10/30/2023,17:58:14 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,25,1.5409750156974575,0.00667618,
